Time,Ask,Bid,AskVolume,BidVolume
01.05.2012 14:05:52.068,81.072,81.050,1.50,1.50
01.05.2012 14:05:52.425,81.075,81.051,1.50,1.50
01.05.2012 14:05:52.960,81.075,81.054,1.50,1.50
01.05.2012 14:05:53.090,81.075,81.054,1.50,1.38
01.05.2012 14:05:53.400,81.079,81.059,1.50,1.50
01.05.2012 14:05:53.710,81.078,81.061,1.50,3.75
01.05.2012 14:05:53.961,81.082,81.062,1.50,1.50
01.05.2012 14:05:54.510,81.082,81.061,1.50,2.25
01.05.2012 14:05:55.428,81.083,81.062,1.50,1.50
01.05.2012 14:05:55.498,81.087,81.065,1.50,1.50
01.05.2012 14:05:55.628,81.087,81.063,1.50,1.50
01.05.2012 14:05:55.818,81.087,81.066,1.50,1.50
01.05.2012 14:05:55.890,81.087,81.066,1.50,1.50
01.05.2012 14:05:55.960,81.089,81.068,1.50,1.50
01.05.2012 14:05:56.030,81.094,81.071,1.50,1.50
01.05.2012 14:05:56.520,81.089,81.066,1.35,1.50
01.05.2012 14:05:56.589,81.089,81.066,2.25,1.50
01.05.2012 14:05:56.899,81.084,81.063,1.50,1.50
01.05.2012 14:05:57.749,81.086,81.063,1.50,1.50
01.05.2012 14:05:57.938,81.086,81.065,1.50,1.50
01.05.2012 14:05:58.280,81.090,81.065,2.10,1.50
01.05.2012 14:05:58.599,81.084,81.061,1.50,1.13
01.05.2012 14:05:59.169,81.083,81.060,1.50,1.50
01.05.2012 14:05:59.598,81.088,81.063,1.50,1.50
01.05.2012 14:06:00.147,81.084,81.061,1.50,2.25
01.05.2012 14:06:00.763,81.084,81.061,1.50,2.25
01.05.2012 14:06:01.693,81.084,81.064,1.50,1.50
01.05.2012 14:06:01.819,81.094,81.073,1.50,1.38
01.05.2012 14:06:02.380,81.094,81.073,1.50,1.50
01.05.2012 14:06:02.928,81.093,81.072,1.50,1.88
01.05.2012 14:06:03.691,81.093,81.073,1.50,1.50
01.05.2012 14:06:04.437,81.093,81.072,1.50,1.50
01.05.2012 14:06:04.950,81.093,81.072,1.50,1.88
01.05.2012 14:06:05.388,81.096,81.073,1.50,3.26
01.05.2012 14:06:05.640,81.098,81.076,1.50,1.50
01.05.2012 14:06:05.890,81.098,81.077,1.50,1.50
01.05.2012 14:06:06.020,81.098,81.076,1.50,2.25
01.05.2012 14:06:06.447,81.098,81.076,1.50,2.25
01.05.2012 14:06:06.818,81.098,81.076,1.50,2.25
01.05.2012 14:06:08.160,81.094,81.073,1.35,1.50
01.05.2012 14:06:08.290,81.094,81.072,2.10,2.63
01.05.2012 14:06:08.358,81.094,81.072,1.50,2.63
01.05.2012 14:06:08.427,81.094,81.072,1.50,2.63
01.05.2012 14:06:08.746,81.094,81.072,1.50,2.63
01.05.2012 14:06:08.928,81.094,81.072,3.00,1.88
01.05.2012 14:06:08.998,81.089,81.072,1.50,1.13
01.05.2012 14:06:09.190,81.088,81.068,1.50,1.50
01.05.2012 14:06:09.559,81.091,81.068,1.35,1.50
01.05.2012 14:06:09.627,81.092,81.068,2.10,1.50
01.05.2012 14:06:10.152,81.093,81.071,1.80,1.50
01.05.2012 14:06:10.279,81.093,81.071,1.50,1.50
01.05.2012 14:06:10.799,81.093,81.070,1.50,1.50
01.05.2012 14:06:11.170,81.093,81.071,2.25,1.50
01.05.2012 14:06:11.702,81.093,81.070,2.25,1.50
01.05.2012 14:06:12.289,81.093,81.071,1.50,1.13
01.05.2012 14:06:12.420,81.093,81.072,1.50,1.13
01.05.2012 14:06:12.489,81.093,81.072,1.50,1.13
01.05.2012 14:06:12.618,81.096,81.074,1.50,1.50
01.05.2012 14:06:12.830,81.096,81.074,1.50,1.50
01.05.2012 14:06:13.137,81.094,81.073,1.50,1.50
01.05.2012 14:06:13.209,81.096,81.074,1.50,1.50
01.05.2012 14:06:14.041,81.096,81.073,1.50,1.50
01.05.2012 14:06:14.701,81.094,81.071,1.50,1.50
01.05.2012 14:06:17.459,81.094,81.071,1.50,1.88
01.05.2012 14:06:17.648,81.094,81.072,1.50,1.88
01.05.2012 14:06:18.509,81.095,81.077,1.50,3.08
01.05.2012 14:06:19.060,81.094,81.075,1.58,3.83
01.05.2012 14:06:19.611,81.094,81.076,1.58,1.50
01.05.2012 14:06:19.739,81.094,81.075,1.58,3.08
01.05.2012 14:06:19.869,81.094,81.075,1.58,3.83
01.05.2012 14:06:20.119,81.094,81.075,2.33,2.33
01.05.2012 14:06:20.509,81.094,81.075,2.33,3.08
01.05.2012 14:06:20.903,81.094,81.075,2.33,2.33
01.05.2012 14:06:21.033,81.089,81.075,1.58,2.33
01.05.2012 14:06:21.424,81.080,81.074,1.50,1.58
01.05.2012 14:06:21.732,81.084,81.072,1.50,1.58
01.05.2012 14:06:21.803,81.082,81.066,2.33,1.58
01.05.2012 14:06:23.491,81.082,81.066,1.58,2.33
01.05.2012 14:06:24.324,81.086,81.070,1.50,1.58
01.05.2012 14:06:25.964,81.086,81.071,1.50,1.58
01.05.2012 14:06:26.523,81.087,81.071,1.50,1.58
01.05.2012 14:06:27.274,81.087,81.070,1.50,1.58
01.05.2012 14:06:27.815,81.087,81.068,3.08,2.33
01.05.2012 14:06:28.373,81.086,81.068,1.50,2.33
01.05.2012 14:06:28.650,81.086,81.070,1.50,1.58
01.05.2012 14:06:29.200,81.086,81.069,3.08,1.58
01.05.2012 14:06:29.814,81.085,81.069,1.50,1.58
01.05.2012 14:06:29.941,81.082,81.069,1.50,1.58
01.05.2012 14:06:30.192,81.078,81.062,1.58,1.50
01.05.2012 14:06:30.264,81.078,81.062,1.58,1.50
01.05.2012 14:06:30.522,81.080,81.063,1.50,1.95
01.05.2012 14:06:30.836,81.082,81.068,1.50,1.58
01.05.2012 14:06:31.093,81.081,81.065,1.58,2.33
01.05.2012 14:06:31.955,81.081,81.065,1.58,2.33
01.05.2012 14:06:32.024,81.085,81.069,3.83,1.58
01.05.2012 14:06:32.333,81.081,81.065,1.58,3.08
01.05.2012 14:06:33.202,81.081,81.065,2.33,2.33
01.05.2012 14:06:33.512,81.083,81.067,2.25,1.58
01.05.2012 14:06:33.772,81.080,81.062,1.58,3.83
01.05.2012 14:06:36.194,81.074,81.060,1.58,1.50
01.05.2012 14:06:36.504,81.077,81.060,1.58,2.33
01.05.2012 14:06:37.163,81.075,81.058,1.58,3.08
01.05.2012 14:06:37.813,81.075,81.060,1.58,1.50
01.05.2012 14:06:37.943,81.079,81.064,1.58,1.95
01.05.2012 14:06:38.828,81.081,81.064,3.90,1.58
01.05.2012 14:06:39.038,81.077,81.062,1.58,2.33
01.05.2012 14:06:39.563,81.076,81.060,1.58,1.50
01.05.2012 14:06:40.093,81.076,81.062,1.58,1.13
01.05.2012 14:06:40.222,81.079,81.064,2.33,1.95
01.05.2012 14:06:41.524,81.079,81.065,1.58,1.50
01.05.2012 14:06:41.832,81.081,81.066,1.58,1.58
01.05.2012 14:06:41.973,81.079,81.064,1.58,2.33
01.05.2012 14:06:42.951,81.081,81.064,3.08,1.58
01.05.2012 14:06:43.262,81.080,81.064,1.50,1.58
01.05.2012 14:06:43.570,81.080,81.064,1.50,1.58
01.05.2012 14:06:44.014,81.078,81.063,1.58,1.58
01.05.2012 14:06:44.309,81.081,81.064,3.08,1.58
01.05.2012 14:06:44.386,81.078,81.063,1.58,3.15
01.05.2012 14:06:45.721,81.080,81.064,2.33,1.58
01.05.2012 14:06:46.470,81.081,81.064,1.58,1.95
01.05.2012 14:06:46.731,81.084,81.069,2.25,1.58
01.05.2012 14:06:47.053,81.082,81.067,2.33,1.58
01.05.2012 14:06:47.576,81.082,81.067,2.33,1.58
01.05.2012 14:06:48.424,81.079,81.064,2.33,2.70
01.05.2012 14:06:48.612,81.081,81.066,1.58,1.58
01.05.2012 14:06:48.802,81.084,81.068,1.50,1.58
01.05.2012 14:06:50.679,81.084,81.068,1.50,1.58
01.05.2012 14:06:51.653,81.084,81.071,1.50,1.58
01.05.2012 14:06:52.216,81.084,81.073,1.50,1.58
01.05.2012 14:06:52.893,81.085,81.071,1.50,1.58
01.05.2012 14:06:52.964,81.085,81.069,1.50,2.33
01.05.2012 14:06:53.844,81.085,81.068,1.50,1.58
01.05.2012 14:06:54.543,81.085,81.068,1.50,1.58
01.05.2012 14:06:54.804,81.085,81.070,1.50,1.58
01.05.2012 14:06:55.180,81.087,81.067,3.83,2.33
01.05.2012 14:06:56.271,81.085,81.070,2.33,1.58
01.05.2012 14:06:56.836,81.085,81.069,1.50,1.58
01.05.2012 14:06:57.151,81.082,81.069,1.50,1.58
01.05.2012 14:06:57.524,81.082,81.065,3.08,3.08
